"Declaration Date","Incident Begin Date","Incident End Date","Declaration Type","State Name","Incident Type","Closeout Date","Region","State","County","City","Zip Code","Total Damage","Total Approved IHP Amount of Owner","Repair/Replace Amount of Owner","Rental Amount of Owner","Other Needs Amount of Owner","Total Approved IHP Amount of Renter","Repair/Replace Amount of Renter","Rental Amount of Renter","Other Needs Amount of Renter","lat","lon","Total_Support_Provided","Total_IHP_Approved_Amount","Support_Efficiency"
"11/5/02","10/24/02","11/15/02","Major Disaster","Texas","Severe Storm","3/26/13",6,"TX","Harris","CROSBY",77532,36648.89,17074.16,11070.47,3228,1809.69,0,0,0,0,29.9118885,-95.0621512,16108.16,17074.16,966
"11/5/02","10/24/02","11/15/02","Major Disaster","Texas","Severe Storm","3/26/13",6,"TX","Harris","HOUSTON",77018,64021.09,45928.29,20000,5442,18947.72,1600,0,1600,0,29.8282298,-95.4253757,45989.72,47528.29,1538
"11/5/02","10/24/02","11/15/02","Major Disaster","Texas","Severe Storm","3/26/13",6,"TX","Harris","HOUSTON",77032,942546.16,503376.74,231954.08,88204,183218.66,279219.82,0,52892,225684.96,29.970895,-95.3207069,781953.7,782596.56,642
"11/5/02","10/24/02","11/15/02","Major Disaster","Texas","Severe Storm","3/26/13",6,"TX","Harris","HOUSTON",77037,618433.07,393638.02,116771.99,93438,182079.23,156617.89,0,28514,128103.89,29.8927547,-95.3991907,548907.11,550255.91,1348
"11/5/02","10/24/02","11/15/02","Major Disaster","Texas","Severe Storm","3/26/13",6,"TX","Harris","HOUSTON",77038,727920.68,442614.17,185576.69,68900,188137.48,262559.25,0,43402,218609.53,29.9196533,-95.4463322,704625.7,705173.42,547
"11/5/02","10/24/02","11/15/02","Major Disaster","Texas","Severe Storm","3/26/13",6,"TX","Harris","HOUSTON",77040,1254047.82,311716.35,75640.96,186343.63,47102.41,49302.19,0,15444,32638.63,29.8760239,-95.5249863,357169.63,361018.54,3848
"11/5/02","10/24/02","11/15/02","Major Disaster","Texas","Severe Storm","3/26/13",6,"TX","Harris","HOUSTON",77060,369647.68,213964.49,54247.77,66784.69,90781.98,5342934.48,0,707946,4634778.48,29.938885,-95.3991907,5554538.92,5556898.97,2360
"11/5/02","10/24/02","11/15/02","Major Disaster","Texas","Severe Storm","3/26/13",6,"TX","Harris","HOUSTON",77088,1019707.51,361125.52,109497.19,113919.33,134468.71,138919.74,0,22708,115521.74,29.8790707,-95.4515725,496114.97,500045.26,3930
"11/5/02","10/24/02","11/15/02","Major Disaster","Texas","Severe Storm","3/26/13",6,"TX","Jefferson","BEAUMONT",77701,1120892.51,883608.11,499947.07,105648,275690.71,605268.91,2570.55,100406,502292.36,30.0780459,-94.0951038,1486554.69,1488877.02,2322
"11/5/02","10/24/02","11/15/02","Major Disaster","Texas","Severe Storm","3/26/13",6,"TX","Jefferson","BEAUMONT",77703,985653.5,884154.62,464582.69,115576,302832.75,1071302.38,2502.69,199939,868860.69,30.1123243,-94.1053307,1954293.82,1955457,1163
