"Disaster Number","Declaration Date","Disaster Name","Incident Begin Date","Incident End Date","Declaration Type","State Code","State Name","Incident Type","Closeout Date","Region"
4734,"08-31-2023","HURRICANE IDALIA","08-27-2023","09-04-2023","Major Disaster","FL","Florida","Hurricane",NA,4
4738,"09-07-2023","HURRICANE IDALIA","08-30-2023","08-30-2023","Major Disaster","GA","Georgia","Hurricane",NA,4
4744,"10-06-2023","SEVERE STORMS AND FLOODING","08-03-2023","08-05-2023","Major Disaster","VT","Vermont","Flood",NA,1
4745,"10-11-2023","FLOODING","06-01-2023","06-08-2023","Major Disaster","MT","Montana","Flood",NA,8
3404,"09-12-2018","TROPICAL STORM OLIVIA","09-09-2018","09-13-2018","Emergency","HI","Hawaii","Hurricane","10-11-2023",9
3399,"08-22-2018","HURRICANE LANE","08-22-2018","08-29-2018","Emergency","HI","Hawaii","Hurricane","10-11-2023",9
4120,"06-13-2013","SEVERE STORMS AND FLOODING","05-22-2013","05-26-2013","Major Disaster","VT","Vermont","Flood","10-12-2023",1
4724,"08-10-2023","WILDFIRES AND HIGH WINDS","08-08-2023","09-30-2023","Major Disaster","HI","Hawaii","Fire",NA,9
4288,"10-20-2016","SEVERE STORMS, FLOODING, AND MUDSLIDES","09-21-2016","09-22-2016","Major Disaster","WI","Wisconsin","Flood","10-16-2023",5
4746,"10-18-2023","TROPICAL STORM HILARY","08-19-2023","08-21-2023","Major Disaster","CA","California","Tropical Storm",NA,9
4728,"08-15-2023","SEVERE STORMS AND FLOODING","06-29-2023","07-02-2023","Major Disaster","IL","Illinois","Severe Storm",NA,5
4740,"09-14-2023","SEVERE STORMS AND FLOODING","07-09-2023","07-17-2023","Major Disaster","NH","New Hampshire","Flood",NA,1
4673,"09-29-2022","HURRICANE IAN","09-23-2022","11-04-2022","Major Disaster","FL","Florida","Hurricane",NA,4
1968,"04-18-2011","TSUNAMI WAVES","03-11-2011","03-11-2011","Major Disaster","CA","California","Tsunami","10-26-2023",9
3601,"10-08-2023","TROPICAL STORM BOLAVEN","10-08-2023","10-16-2023","Emergency","GU","Guam","Tropical Storm",NA,9
3602,"10-08-2023","TROPICAL STORM BOLAVEN","10-09-2023","10-16-2023","Emergency","MP","Northern Mariana Islands","Tropical Storm",NA,9
4730,"08-23-2023","FLOODING","05-12-2023","06-03-2023","Major Disaster","AK","Alaska","Flood",NA,10
4292,"12-02-2016","SEVERE STORMS AND FLOODING","10-20-2016","10-21-2016","Major Disaster","PA","Pennsylvania","Flood","10-31-2023",3
4731,"08-25-2023","SEVERE STORMS, FLOODING, AND TORNADOES","06-08-2023","06-23-2023","Major Disaster","CO","Colorado","Flood",NA,8
3485,"03-13-2020","COVID-19","01-20-2020","05-11-2023","Emergency","NM","New Mexico","Biological","11-07-2023",6
3563,"08-21-2021","HURRICANE HENRI","08-20-2021","08-24-2021","Emergency","RI","Rhode Island","Hurricane","11-06-2023",1
4748,"11-14-2023","SEVERE STORMS, STRAIGHT-LINE WINDS, AND TORNADOES","06-25-2023","06-26-2023","Major Disaster","AR","Arkansas","Severe Storm",NA,6
5155,"10-04-2016","BEULAH HILL FIRE","10-04-2016","10-07-2016","Fire Management","CO","Colorado","Fire","11-21-2023",8
1605,"08-29-2005","HURRICANE KATRINA","08-29-2005","09-26-2005","Major Disaster","AL","Alabama","Hurricane","11-21-2023",4
3412,"05-28-2019","TORNADOES AND FLOODING","05-09-2019","07-12-2019","Emergency","KS","Kansas","Severe Storm","11-27-2023",7
3548,"10-08-2020","HURRICANE DELTA","10-07-2020","10-11-2020","Emergency","MS","Mississippi","Hurricane","11-21-2023",4
5441,"06-12-2022","PIPELINE FIRE","06-12-2022","06-24-2022","Fire Management","AZ","Arizona","Fire",NA,9
5435,"04-19-2022","CROOKS FIRE","04-18-2022","05-02-2022","Fire Management","AZ","Arizona","Fire",NA,9
5434,"04-19-2022","TUNNEL 2 FIRE","04-19-2022","04-28-2022","Fire Management","AZ","Arizona","Fire",NA,9
5387,"05-27-2021","SPUR FIRE","05-27-2021","05-29-2021","Fire Management","AZ","Arizona","Fire",NA,9
5385,"04-08-2021","MARGO FIRE","04-08-2021","04-10-2021","Fire Management","AZ","Arizona","Fire",NA,9
4749,"11-20-2023","SEVERE STORMS AND FLOODING","09-17-2023","09-18-2023","Major Disaster","IL","Illinois","Flood",NA,5
3524,"03-13-2020","COVID-19","01-20-2020","05-11-2023","Emergency","IA","Iowa","Biological","11-28-2023",7
4386,"08-20-2018","SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING","06-06-2018","07-02-2018","Major Disaster","IA","Iowa","Severe Storm","11-28-2023",7
5389,"06-06-2021","TELEGRAPH FIRE","06-06-2021","06-24-2021","Fire Management","AZ","Arizona","Fire","09-29-2023",9
5295,"10-24-2019","KINCADE FIRE","10-24-2019","11-07-2019","Fire Management","CA","California","Fire",NA,9
5294,"10-23-2019","KAHANA RIDGE FIRE","10-22-2019","10-24-2019","Fire Management","HI","Hawaii","Fire",NA,9
5293,"10-11-2019","SADDLERIDGE FIRE","10-10-2019","10-22-2019","Fire Management","CA","California","Fire",NA,9
5333,"08-19-2020","CARMEL FIRE","08-18-2020","08-29-2020","Fire Management","CA","California","Fire",NA,9
5332,"08-18-2020","JONES FIRE","08-18-2020","08-27-2020","Fire Management","CA","California","Fire",NA,9
5329,"08-17-2020","RIVER FIRE","08-16-2020","08-29-2020","Fire Management","CA","California","Fire",NA,9
4750,"11-21-2023","TROPICAL STORM HILARY","08-19-2023","08-21-2023","Major Disaster","CA","California","Hurricane",NA,9
5462,"04-09-2023","WACONDA-BEAVER LAKE FIRE COMPLEX","04-08-2023","04-11-2023","Fire Management","NE","Nebraska","Fire",NA,7
5460,"03-31-2023","GAP ROAD FIRE, OKLAHOMA FMAG","03-31-2023","04-06-2023","Fire Management","OK","Oklahoma","Fire",NA,6
5459,"03-31-2023","HEFNER FIRE, OKLAHOMA FMAG","03-31-2023","04-03-2023","Fire Management","OK","Oklahoma","Fire",NA,6
5458,"03-31-2023","SIMPSON FIRE, OKLAHOMA FMAG","03-31-2023","04-06-2023","Fire Management","OK","Oklahoma","Fire",NA,6
5440,"05-18-2022","MESQUITE HEAT FIRE","05-18-2022","05-29-2022","Fire Management","TX","Texas","Fire",NA,6
5421,"12-15-2021","COBB FIRE","12-15-2021","12-22-2021","Fire Management","OK","Oklahoma","Fire",NA,6
5288,"08-18-2019","COPPER BREAKS FIRE","08-16-2019","09-04-2019","Fire Management","TX","Texas","Fire",NA,6
5303,"11-26-2019","CAVE FIRE","11-25-2019","11-28-2019","Fire Management","CA","California","Fire",NA,9
5302,"11-01-2019","MARIA FIRE","11-01-2019","11-05-2019","Fire Management","CA","California","Fire",NA,9
5301,"10-31-2019","HILLSIDE FIRE","10-31-2019","11-02-2019","Fire Management","CA","California","Fire",NA,9
5300,"10-31-2019","46 FIRE","10-31-2019","11-02-2019","Fire Management","CA","California","Fire",NA,9
5299,"10-30-2019","HILL FIRE","10-30-2019","11-01-2019","Fire Management","CA","California","Fire",NA,9
5298,"10-30-2019","EASY FIRE","10-30-2019","11-02-2019","Fire Management","CA","California","Fire",NA,9
5297,"10-28-2019","GETTY FIRE","10-28-2019","11-02-2019","Fire Management","CA","California","Fire",NA,9
5296,"10-24-2019","TICK FIRE","10-24-2019","10-29-2019","Fire Management","CA","California","Fire",NA,9
5452,"09-05-2022","ROSS FORK FIRE","09-05-2022","09-16-2022","Fire Management","ID","Idaho","Fire",NA,10
5449,"08-19-2022","FOUR CORNERS FIRE","08-18-2022","08-18-2022","Fire Management","ID","Idaho","Fire",NA,10
3600,"09-27-2023","SEAWATER INTRUSION","09-20-2023",NA,"Emergency","LA","Louisiana","Other",NA,6
4216,"04-30-2015","SEVERE WINTER STORMS, SNOWSTORMS, FLOODING, LANDSLIDES, AND MUDSLIDES","02-15-2015","02-22-2015","Major Disaster","KY","Kentucky","Snowstorm","11-21-2023",4
5430,"04-11-2022","BIG HOLE FIRE","04-11-2022","07-23-2022","Fire Management","NM","New Mexico","Fire",NA,6
3493,"03-13-2020","COVID-19","01-20-2020","05-11-2023","Emergency","NE","Nebraska","Biological","12-14-2023",7
3582,"08-30-2022","WATER CRISIS","08-30-2022","11-28-2022","Emergency","MS","Mississippi","Other",NA,4
4747,"10-26-2023","SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, AND FLOODING","07-14-2023","07-21-2023","Major Disaster","KS","Kansas","Severe Storm",NA,7
3510,"03-13-2020","COVID-19","01-20-2020","05-11-2023","Emergency","NM","New Mexico","Biological","12-20-2023",6
5095,"08-09-2015","WILLOW FIRE","08-08-2015","08-12-2015","Fire Management","AZ","Arizona","Fire","12-21-2023",9
5086,"06-17-2015","KEARNY RIVER FIRE","06-17-2015","06-27-2015","Fire Management","AZ","Arizona","Fire","12-21-2023",9
5313,"06-20-2020","BUSH FIRE","06-20-2020",NA,"Fire Management","AZ","Arizona","Fire","12-22-2023",9
4752,"12-23-2023","FLOODING","05-01-2023","05-27-2023","Major Disaster","UT","Utah","Flood",NA,8
1967,"04-08-2011","TSUNAMI WAVES","03-11-2011","03-12-2011","Major Disaster","HI","Hawaii","Tsunami","12-27-2023",9
4237,"08-07-2015","SEVERE STORMS, STRAIGHT-LINE WINDS, AND FLOODING","05-08-2015","05-29-2015","Major Disaster","SD","South Dakota","Severe Storm","01-04-2024",8
5197,"08-17-2017","LOLO PEAK FIRE","08-17-2017","09-16-2017","Fire Management","MT","Montana","Fire","01-05-2024",8
4328,"08-08-2017","SEVERE WINTER STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES","01-07-2017","01-10-2017","Major Disaster","OR","Oregon","Severe Storm","01-05-2024",10
5448,"08-14-2022","JOY LAKE FIRE","08-14-2022","08-15-2022","Fire Management","NV","Nevada","Fire",NA,9
5402,"07-22-2021","TAMARACK FIRE","07-22-2021","07-29-2021","Fire Management","NV","Nevada","Fire",NA,9
5480,"08-19-2023","RIVER ROAD EAST FIRE","08-18-2023","09-05-2023","Fire Management","MT","Montana","Fire",NA,8
5423,"12-30-2021","MARSHALL FIRE","12-30-2021","01-07-2022","Fire Management","CO","Colorado","Fire",NA,8
5406,"08-10-2021","RICHARD SPRING FIRE","08-10-2021","08-13-2021","Fire Management","MT","Montana","Fire",NA,8
5399,"07-17-2021","BUFFALO WILDFIRE","07-16-2021","07-16-2021","Fire Management","MT","Montana","Fire",NA,8
5438,"04-30-2022","CALF CANYON FIRE","04-20-2022","07-23-2022","Fire Management","NM","New Mexico","Fire",NA,6
5437,"04-28-2022","COOK'S PEAK FIRE","04-28-2022","07-23-2022","Fire Management","NM","New Mexico","Fire",NA,6
5433,"04-12-2022","NOGAL CANYON FIRE","04-12-2022","07-23-2022","Fire Management","NM","New Mexico","Fire",NA,6
5432,"04-12-2022","MCBRIDE FIRE","04-12-2022","07-23-2022","Fire Management","NM","New Mexico","Fire",NA,6
5431,"04-12-2022","HERMIT'S PEAK FIRE","04-12-2022","07-23-2022","Fire Management","NM","New Mexico","Fire",NA,6
5456,"10-17-2022","NAKIA CREEK FIRE","10-16-2022","10-22-2022","Fire Management","WA","Washington","Fire",NA,10
5455,"09-10-2022","BOLT CREEK FIRE","09-10-2022","10-24-2022","Fire Management","WA","Washington","Fire",NA,10
5447,"08-04-2022","LIND FIRE","08-04-2022","08-05-2022","Fire Management","WA","Washington","Fire",NA,10
5478,"08-09-2023","MAUNA KEA BEACH FIRE","08-08-2023",NA,"Fire Management","HI","Hawaii","Fire","12-27-2023",9
5477,"08-09-2023","PULEHU FIRE","08-09-2023",NA,"Fire Management","HI","Hawaii","Fire","12-27-2023",9
5476,"08-09-2023","UPCOUNTRY FIRE","08-09-2023",NA,"Fire Management","HI","Hawaii","Fire","12-27-2023",9
5475,"08-09-2023","LAHAINA FIRE","08-09-2023",NA,"Fire Management","HI","Hawaii","Fire","12-27-2023",9
4031,"09-13-2011","REMNANTS OF TROPICAL STORM LEE","09-07-2011","09-11-2011","Major Disaster","NY","New York","Severe Storm","01-05-2024",2
5390,"06-09-2021","JACKS VALLEY FIRE","06-09-2021","06-10-2021","Fire Management","NV","Nevada","Fire",NA,9
5436,"04-23-2022","ROAD 702 FIRE","04-22-2022","04-30-2022","Fire Management","NE","Nebraska","Fire",NA,7
5425,"03-05-2022","COTTONWOOD FIRE COMPLEX","03-05-2022","03-16-2022","Fire Management","KS","Kansas","Fire",NA,7
